iter	RMSE
0	1.730775544
1	1.655186136
2	1.585041149
3	1.515977389
4	1.450040276
5	1.388000366
6	1.330554306
7	1.274817489
8	1.223034293
9	1.170012471
10	1.120071206
11	1.07401945
12	1.029825754
13	0.9857310333
14	0.9439901196
15	0.9071438879
16	0.870342583
17	0.8348615886
18	0.800938644
19	0.7679410388
20	0.7376398195
21	0.7068080527
22	0.6782547568
23	0.6514729288
24	0.6248745399
25	0.5994438588
26	0.5752364471
27	0.552004312
28	0.5300582278
29	0.5090427334
30	0.4886162556
31	0.4699101473
32	0.4518495406
33	0.434128484
34	0.4171752043
35	0.4007212665
36	0.3856734184
37	0.3709604247
38	0.3566302624
39	0.3434124033
40	0.3309149009
41	0.3187944214
42	0.3067153843
43	0.2956620408
44	0.2846625973
45	0.2742144132
46	0.2646019331
47	0.2554395007
48	0.2460287417
49	0.2372757141
50	0.228845411
51	0.2210436679
52	0.2134950691
53	0.206330662
54	0.1992670822
55	0.1926036471
56	0.1862553754
57	0.1800614016
58	0.1742202553
59	0.168567356
60	0.1635267787
61	0.15845217
62	0.1535796829
63	0.1489395736
64	0.1444994677
65	0.1402148975
66	0.1362297106
67	0.1323074112
68	0.1284567844
69	0.1250165066
70	0.1215549251
71	0.1182012594
72	0.1149791765
73	0.1119800985
74	0.1090406447
75	0.106155311
76	0.1034420706
77	0.1009030296
78	0.09861543277
79	0.09631737393
80	0.09421710089
81	0.0921469633
82	0.0901340954
83	0.0882717995
84	0.08646492549
85	0.08472495203
86	0.08315978123
87	0.08158403153
88	0.08010276094
89	0.07867126256
90	0.07729119925
91	0.07603144114
92	0.07476752186
93	0.07357126982
94	0.07242715471
95	0.07133743484
96	0.07032764465
97	0.06937019266
98	0.06844670696
99	0.06759199121
100	0.0667670408
101	0.06594861966
102	0.06518518959
103	0.06446221809
104	0.06375546167
105	0.06309928592
106	0.0624622911
107	0.06187876884
108	0.06135455741
109	0.06085203944
110	0.06029035223
111	0.05978774894
112	0.05934538744
113	0.05891904134
114	0.05847608314
115	0.05807578339
116	0.05767791711
117	0.05728569821
118	0.05691390033
119	0.05653152441
120	0.05626070804
121	0.05593390254
122	0.05563229814
123	0.05526673872
124	0.05494572999
125	0.05469799553
126	0.05440689377
127	0.05413929347
128	0.05386380258
129	0.05356512431
130	0.05331533262
131	0.05307335389
132	0.05283829994
133	0.05263104357
134	0.05237823596
135	0.0521610213
136	0.05187986149
137	0.05164977242
138	0.05150494734
139	0.05125714893
140	0.05108083551
141	0.05079844601
142	0.05056620218
143	0.05037268091
144	0.05016326301
145	0.05000028627
146	0.04984312146
147	0.04975132858
148	0.04958646142
149	0.04938830622
150	0.04914672515
151	0.0489824783
152	0.0488304926
153	0.04867331027
154	0.04859249377
155	0.0483886067
156	0.04830614504
157	0.04817385666
158	0.04807152719
159	0.04799772281
160	0.04778629235
161	0.04764174771
162	0.04757879685
163	0.04742894567
164	0.04723849026
165	0.04705065864
166	0.04698306634
167	0.0468280143
168	0.04668992686
169	0.04650643385
170	0.04639127422
171	0.04622226537
172	0.04606478075
173	0.04590231435
174	0.04579059997
175	0.04563267726
176	0.04548711201
177	0.04541050272
178	0.04531900145
179	0.04518999915
180	0.04508193339
181	0.04501870077
182	0.04487154514
183	0.04472139915
184	0.04465727459
185	0.04453055258
186	0.0444037766
187	0.04429366592
188	0.04423190294
189	0.04414178791
190	0.04408702335
191	0.0439469772
192	0.04384921571
193	0.04373991819
194	0.04361442515
195	0.043556476
196	0.04343591136
197	0.0432941171
198	0.04322706435
199	0.04316224067
200	0.04308383055
201	0.04297840335
202	0.0428598733
203	0.04276955795
204	0.04267214363
205	0.04256738141
206	0.04246845857
207	0.04241754107
208	0.04227392535
209	0.04220046677
210	0.04212615523
211	0.04206608274
212	0.0419492574
213	0.04185797726
214	0.04175386853
215	0.04171361767
216	0.04163209873
217	0.04155166584
218	0.04149489427
219	0.04144120978
220	0.04134937499
221	0.04127386212
222	0.04118857559
223	0.04111299792
224	0.04100035712
225	0.04090926166
226	0.04086621094
227	0.04082507533
228	0.04077255762
229	0.04071389773
230	0.04060143385
231	0.04050799389
232	0.04042450688
233	0.04033697861
234	0.04024822189
235	0.04013731501
236	0.04010030403
237	0.04005363727
238	0.03996703968
239	0.03990593188
240	0.03986712669
241	0.03978139144
242	0.03967477508
243	0.03961890168
244	0.03954855509
245	0.03950571608
246	0.03947218768
247	0.03939380554
248	0.03937049943
249	0.03933849065
250	0.03924322886
251	0.03921187947
252	0.03911801394
253	0.03903744011
254	0.03894862897
255	0.03888339672
256	0.03880282036
257	0.03877433027
258	0.03868752334
259	0.03859759416
260	0.03854986067
261	0.03852123403
262	0.0384988735
263	0.03847255794
264	0.0384260952
265	0.03832998037
266	0.03830519176
267	0.03827401875
268	0.03821558283
269	0.03815946902
270	0.03810377561
271	0.03802444132
272	0.03800385687
273	0.03794652218
274	0.0379233869
275	0.03788795314
276	0.03782858486
277	0.03777385213
278	0.03775074657
279	0.03770317946
